GRB , RA , Dec , Err90 , #breaks , lc type , NH_gal , Redshift , Ave_NH_wt , Ave_dNH_Wt , Ave_Gamma_WT , Ave_dgamma_WT , Ave_obs_flux_WT , d_Ave_obs_flux_WT , Ave_unabs_flux_WT , Ave_NH_PC , Ave_dNH_PC , Ave_Gamma_PC , Ave_dgamma_PC , Ave_obs_flux_PC , d_Ave_obs_flux_PC , Ave_unabs_flux_PC , Flux_11 , Flux_24 , alpha_1 , D_alpha_1, break_1 , D_break_1 , NH_1 (wt) , D_NH_1 (wt) , NH_1 (pc) , D_NH_1 (pc) , Gamma_1 (wt) , D_Gamma_1 (wt) , Gamma_1 (pc) , D_Gamma_1 (pc) , Obs Flux_1 (wt) , D_Obs Flux_1 (wt) , Unabs Flux_1 (wt) , Obs Flux_1 (pc) , D_Obs Flux_1 (pc) , Unabs Flux_1 (pc) , alpha_2 , D_alpha_2, break_2 , D_break_2 , NH_2 (wt) , D_NH_2 (wt) , NH_2 (pc) , D_NH_2 (pc) , Gamma_2 (wt) , D_Gamma_2 (wt) , Gamma_2 (pc) , D_Gamma_2 (pc) , Obs Flux_2 (wt) , D_Obs Flux_2 (wt) , Unabs Flux_2 (wt) , Obs Flux_2 (pc) , D_Obs Flux_2 (pc) , Unabs Flux_2 (pc) , alpha_3 , D_alpha_3, break_3 , D_break_3 , NH_3 (wt) , D_NH_3 (wt) , NH_3 (pc) , D_NH_3 (pc) , Gamma_3 (wt) , D_Gamma_3 (wt) , Gamma_3 (pc) , D_Gamma_3 (pc) , Obs Flux_3 (wt) , D_Obs Flux_3 (wt) , Unabs Flux_3 (wt) , Obs Flux_3 (pc) , D_Obs Flux_3 (pc) , Unabs Flux_3 (pc) , alpha_4 , D_alpha_4, break_4 , D_break_4 , NH_4 (wt) , D_NH_4 (wt) , NH_4 (pc) , D_NH_4 (pc) , Gamma_4 (wt) , D_Gamma_4 (wt) , Gamma_4 (pc) , D_Gamma_4 (pc) , Obs Flux_4 (wt) , D_Obs Flux_4 (wt) , Unabs Flux_4 (wt) , Obs Flux_4 (pc) , D_Obs Flux_4 (pc) , Unabs Flux_4 (pc) , alpha_5 , D_alpha_5, break_5 , D_break_5 , NH_5 (wt) , D_NH_5 (wt) , NH_5 (pc) , D_NH_5 (pc) , Gamma_5 (wt) , D_Gamma_5 (wt) , Gamma_5 (pc) , D_Gamma_5 (pc) , Obs Flux_5 (wt) , D_Obs Flux_5 (wt) , Unabs Flux_5 (wt) , Obs Flux_5 (pc) , D_Obs Flux_5 (pc) , Unabs Flux_5 (pc) , alpha_6 , D_alpha_6, NH_6 (wt) , D_NH_6 (wt) , NH_6 (pc) , D_NH_6 (pc) , Gamma_6 (wt) , D_Gamma_6 (wt) , Gamma_6 (pc) , D_Gamma_6 (pc) , Obs Flux_6 (wt) , D_Obs Flux_6 (wt) , Unabs Flux_6 (wt) , Obs Flux_6 (pc) , D_Obs Flux_6 (pc) , Unabs Flux_6 (pc) 
230414B,181.09467,53.15435,2,2, TBD ,1.68E-02,3.568,4.06E-08," +4.9, -4.06E-8",1.9," +0.79, -0.46",7.16E-11," +2.92E-11, -2.73E-11",7.39E-11,0.49," +0.89, -0.49",2," +0.14, -0.13",3.73E-12," +3.28E-13, -2.98E-13",4.05E-12,1.76E-12,4.34E-13,1.3," +0.22, -0.19",2415," +1070, -862",3.49E-05," +4.8, -3.49E-5",7.64E-06," +0.48, -7.64E-6",2," +0.73, -0.50",2," +0.13, -0.12",7.09E-11," +2.98E-11, -2.68E-11",7.37E-11,2.99E-11," +3.50E-12, -2.74E-12",3.15E-11,-0.19," +0.25, -0.28",3.05E+04," +1.08E4, -6115", N/A ," , ",1.1," +1.6, -1.1", N/A ," , ",2.1," +0.24, -0.22", N/A ," , ", N/A ,2.39E-12," +3.60E-13, -3.07E-13",2.72E-12,1.8," +0.49, -0.21", N/A ," , ", N/A ," , ",4.6," +3.3, -2.6", N/A ," , ",2.3," +0.32, -0.30", N/A ," , ", N/A ,2.98E-13," +5.57E-14, -4.60E-14",4.27E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
230409B,329.51477,52.83214,2,1, TBD ,0.76, N/A ,1.8," +2.5, -1.5",2.7," +1.5, -1.2",1.38E-10," +7.07E-11, -4.41E-11",7.65E-10,0.48," +0.27, -0.24",2," +0.22, -0.21",1.48E-11," +1.41E-12, -1.27E-12",2.83E-11,1.77E-12,7.19E-13,0.62," +0.12, -0.12",4570," +5335, -3295",1.8," +2.5, -1.5",0.44," +0.31, -0.26",2.7," +1.5, -1.2",2," +0.25, -0.24",1.35E-10," +6.88E-11, -4.29E-11",7.44E-10,5.66E-11," +6.01E-12, -5.38E-12",1.08E-10,1.2," +0.19, -0.18", N/A ," , ", N/A ," , ",0.25," +0.50, -0.25", N/A ," , ",1.8," +0.43, -0.37", N/A ," , ", N/A ,1.47E-12," +3.15E-13, -2.55E-13",2.34E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
230405B,271.44056,-47.07003,2,2, TBD ,0.16, N/A ,0.24," +5.54E-2, -5.24E-2",2.1," +0.12, -0.11",3.38E-10," +2.06E-11, -1.94E-11",5.59E-10,0.38," +0.11, -9.93E-2",1.9," +0.17, -0.16",1.65E-11," +1.46E-12, -1.34E-12",2.63E-11,1.05E-12,4.41E-13,1.3," +0.21, -0.23",126," +7.3, -8.8",0.26," +0.10, -9.23E-2", N/A ," , ",2.2," +0.22, -0.21", N/A ," , ",4.55E-10," +5.17E-11, -4.62E-11",8.33E-10, N/A ," , ", N/A ,-1.5," +0.00E0, 1.2",147," +11.9, -6.1",0.37," +0.22, -0.18", N/A ," , ",2.4," +0.43, -0.39", N/A ," , ",3.64E-10," +7.35E-11, -5.94E-11",8.30E-10, N/A ," , ", N/A ,1.1," +3.54E-2, -3.07E-2", N/A ," , ",0.23," +7.47E-2, -6.75E-2",0.42," +0.12, -0.11",2.1," +0.15, -0.15",2," +0.17, -0.16",2.91E-10," +2.37E-11, -2.20E-11",4.66E-10,8.83E-12," +7.89E-13, -7.20E-13",1.46E-11, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
230328B,291.00687,80.00956,1.9,1, TBD ,6.28E-02, N/A ,4.61E-02," +0.29, -4.61E-2",2.4," +1.8, -0.81",1.49E-10," +8.41E-11, -6.20E-11",2.11E-10,7.71E-02," +2.41E-2, -2.29E-2",1.9," +7.90E-2, -7.67E-2",1.31E-11," +6.17E-13, -5.88E-13",1.63E-11,3.37E-12,1.18E-12,0.56," +5.08E-2, -4.99E-2",8709," +1728, -1279",4.61E-02," +0.29, -4.61E-2",5.16E-02," +3.43E-2, -3.18E-2",2.4," +1.8, -0.81",1.8," +0.12, -0.11",1.56E-10," +8.77E-11, -6.47E-11",2.21E-10,7.99E-11," +5.90E-12, -5.43E-12",9.55E-11,1.3," +4.28E-2, -4.05E-2", N/A ," , ", N/A ," , ",0.11," +3.54E-2, -3.31E-2", N/A ," , ",2," +0.11, -0.10", N/A ," , ", N/A ,1.72E-12," +1.05E-13, -9.82E-14",2.27E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
230325A,296.84976,-46.07607,2.1,2, TBD ,4.88E-02,1.664,2.3," +0.39, -0.36",2.1," +9.33E-2, -9.07E-2",6.57E-10," +3.60E-11, -3.42E-11",9.73E-10,1.7," +0.73, -0.61",2.1," +0.21, -0.20",2.70E-12," +3.44E-13, -3.00E-13",3.88E-12,8.20E-13,4.65E-13,1.3," +0.27, -0.54",131," +5.9, -13.1",3.3," +0.76, -0.67", N/A ," , ",2.2," +0.15, -0.14", N/A ," , ",1.31E-09," +1.08E-10, -1.00E-10",2.20E-09, N/A ," , ", N/A ,3.4," +0.23, -0.27",405," +42.7, -35.8",1.8," +0.48, -0.42",1.8," +1.5, -1.1",2," +0.13, -0.13",2.1," +0.39, -0.35",4.30E-10," +3.46E-11, -3.28E-11",6.04E-10,6.13E-11," +1.51E-11, -1.17E-11",8.97E-11,0.73," +3.80E-2, -3.73E-2", N/A ," , ", N/A ," , ",1.7," +0.85, -0.68", N/A ," , ",1.9," +0.21, -0.19", N/A ," , ", N/A ,4.96E-13," +6.61E-14, -5.81E-14",6.65E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
230322B,16.55344,-47.70078,2,0, TBD ,2.48E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,5.12E-02," +4.82E-2, -4.21E-2",2," +0.19, -0.18",2.38E-12," +2.73E-13, -2.40E-13",2.82E-12,4.88E-13,2.72E-13,0.75," +3.07E-2, -3.04E-2", N/A ," , ", N/A ," , ",5.12E-02," +4.82E-2, -4.21E-2", N/A ," , ",2," +0.19, -0.18", N/A ," , ", N/A ,2.38E-12," , ",2.82E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
230307A,60.85935,-75.37884,3.2,0, TBD ,0.13, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,2.74E-09," +0.10, -2.74E-9",2.3," +0.59, -0.43",3.27E-13," +1.38E-13, -9.73E-14",3.94E-13,8.42E-13,3.62E-13, N/A ," , ", N/A ," , ", N/A ," , ",2.74E-09," +0.10, -2.74E-9", N/A ," , ",2.3," +0.59, -0.43", N/A ," , ", N/A ,3.27E-13," , ",3.94E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
230228A,18.37809,44.48292,2.1,0, TBD ,9.72E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.11," +0.11, -9.37E-2",1.8," +0.27, -0.25",2.87E-12," +4.77E-13, -4.04E-13",3.69E-12,1.69E-13,8.13E-14,0.94," +7.11E-2, -6.77E-2", N/A ," , ", N/A ," , ",0.11," +0.11, -9.37E-2", N/A ," , ",1.8," +0.27, -0.25", N/A ," , ", N/A ,2.87E-12," , ",3.69E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
230217A,280.77002,-28.8374,4.7,0, TBD ,0.16, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,7.55E-07," +0.41, -7.55E-7",1.6," +0.77, -0.38",6.58E-13," +2.37E-13, -2.21E-13",7.72E-13,1.11E-12,4.07E-13,1.3," +0.51, -0.35", N/A ," , ", N/A ," , ",7.55E-07," +0.41, -7.55E-7", N/A ," , ",1.6," +0.77, -0.38", N/A ," , ", N/A ,6.58E-13," , ",7.72E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
230216A,113.95903,-8.01156,2,2, TBD ,0.32, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,5.64E-08," +7.07E-2, -5.64E-8",2," +0.19, -8.60E-2",2.88E-12," +2.11E-13, -2.71E-13",4.34E-12,2.10E-13,4.40E-14,2.7," +0.95, -0.70",264," +76.0, -62.0", N/A ," , ",8.42E-06," +0.24, -8.42E-6", N/A ," , ",2," +0.84, -0.44", N/A ," , ", N/A ,1.35E-11," +6.37E-12, -5.33E-12",1.97E-11,-0.37," +0.58, -0.13",4581," +3520, -1220", N/A ," , ",2.77E-08," +3.63E-2, -2.77E-8", N/A ," , ",2," +0.16, -0.13", N/A ," , ", N/A ,1.68E-11," +2.21E-12, -1.48E-12",2.45E-11,2," +0.28, -0.25", N/A ," , ", N/A ," , ",0.12," +0.15, -0.12", N/A ," , ",2.3," +0.30, -0.28", N/A ," , ", N/A ,6.62E-13," +1.01E-13, -8.64E-14",1.27E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
230205A,202.07087,46.7253,1.9,0, TBD ,2.09E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.6," +0.16, -0.14",1.9," +0.22, -0.21",3.65E-12," +4.50E-13, -3.94E-13",5.78E-12,4.32E-13,2.15E-13,0.89," +5.56E-2, -5.48E-2", N/A ," , ", N/A ," , ",0.6," +0.16, -0.14", N/A ," , ",1.9," +0.22, -0.21", N/A ," , ", N/A ,3.65E-12," , ",5.78E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
230204B, N/A , N/A , N/A ,0, TBD , N/A , N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A , N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
230204B,197.6441581,-21.7168915,7.6,0, TBD ,0.1, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,3.01E-06," +0.32, -3.01E-6",1.2," +0.83, -0.69",2.72E-13," +1.75E-13, -1.39E-13",2.88E-13,4.49E-13,3.04E-13,0.5," +0.55, -0.39", N/A ," , ", N/A ," , ",3.01E-06," +0.32, -3.01E-6", N/A ," , ",1.2," +0.83, -0.69", N/A ," , ", N/A ,2.72E-13," , ",2.88E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
230204A,238.19965,-50.91673,2,0, TBD ,1, N/A ,1.6," +0.21, -0.20",1.6," +9.98E-2, -9.73E-2",4.36E-09," +1.59E-10, -1.52E-10",7.63E-09,1.1," +0.75, -0.62",1.5," +0.40, -0.37",1.80E-11," +3.04E-12, -2.54E-12",2.85E-11,5.85E-15,9.25E-16,2.4," +0.17, -0.14", N/A ," , ",1.6," +0.21, -0.20",1.1," +0.75, -0.62",1.6," +9.98E-2, -9.73E-2",1.5," +0.40, -0.37",4.36E-09," , ",7.63E-09,1.80E-11," , ",2.85E-11, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
230123A,40.85765,-65.68618,2.2,0, TBD ,2.95E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.12," +0.10, -8.38E-2",2.2," +0.36, -0.32",7.89E-13," +1.57E-13, -1.27E-13",1.11E-12,1.56E-13,8.94E-14,0.71," +6.57E-2, -6.30E-2", N/A ," , ", N/A ," , ",0.12," +0.10, -8.38E-2", N/A ," , ",2.2," +0.36, -0.32", N/A ," , ", N/A ,7.89E-13," , ",1.11E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
230116D,98.61782,49.87286,2,2, TBD ,0.16,3.81,3.35E-12," +1.9, -3.35E-12",1.9," +0.24, -0.21",2.18E-10," +2.13E-11, -3.62E-11",2.79E-10,1.45E-10," +2.1, -1.45E-10",1.8," +0.19, -0.11",2.76E-12," +2.74E-13, -3.46E-13",3.37E-12,1.77E-13,3.80E-14,1.9," +0.23, -0.21",615," +302, -151",3.35E-09," +1.9, -3.35E-9",4.47E-08," +2.8, -4.47E-8",1.9," +0.24, -0.21",1.6," +0.26, -0.22",2.21E-10," +3.24E-11, -3.68E-11",2.84E-10,6.35E-11," +1.37E-11, -1.26E-11",7.41E-11,0.62," +0.15, -0.20",8689," +4133, -3073", N/A ," , ",1.5," +3.9, -1.5", N/A ," , ",1.9," +0.24, -0.22", N/A ," , ", N/A ,8.20E-12," +1.42E-12, -1.19E-12",1.06E-11,2," +0.50, -0.41", N/A ," , ", N/A ," , ",1.05E-05," +4.3, -1.05E-5", N/A ," , ",1.7," +0.45, -0.26", N/A ," , ", N/A ,3.90E-13," +1.05E-13, -1.05E-13",4.84E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
221231A,336.256,25.12978,3.1,0, TBD ,6.44E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,3.52E-06," +0.24, -3.52E-6",1.4," +0.82, -0.34",4.48E-13," +2.07E-13, -1.84E-13",4.81E-13,4.10E-13,1.89E-13,0.99," +0.60, -0.36", N/A ," , ", N/A ," , ",3.52E-06," +0.24, -3.52E-6", N/A ," , ",1.4," +0.82, -0.34", N/A ," , ", N/A ,4.48E-13," , ",4.81E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
221226B,22.90863,-41.52668,2,0, TBD ,1.69E-02,2.694,2.60E-08," +91.6, -2.60E-8",1.2," +2.3, -0.52",2.76E-10," +2.03E-10, -1.36E-10",2.82E-10,1.4," +2.5, -1.4",1.6," +0.36, -0.34",1.65E-12," +4.95E-13, -3.68E-13",1.80E-12,1.05E-14,3.07E-15,1.6," +0.13, -0.12", N/A ," , ",2.60E-08," +91.6, -2.60E-8",1.4," +2.5, -1.4",1.2," +2.3, -0.52",1.6," +0.36, -0.34",2.76E-10," , ",2.82E-10,1.65E-12," , ",1.80E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
